regla_id,organismo_id,tipo,puntos
1,887,NO_DESEADO,
2,895,NO_DESEADO,
10,517,PRIORITARIO,5.0
11,213,PRIORITARIO,5.0
12,515,PRIORITARIO,5.0
13,223,PRIORITARIO,5.0
14,773,PRIORITARIO,5.0
15,150,PRIORITARIO,5.0
16,153,PRIORITARIO,5.0
17,192,PRIORITARIO,5.0
18,313,PRIORITARIO,5.0
19,725,PRIORITARIO,5.0
20,437,PRIORITARIO,5.0
21,198,PRIORITARIO,5.0
22,372,PRIORITARIO,5.0
23,40,PRIORITARIO,5.0
24,91,PRIORITARIO,5.0
25,210,PRIORITARIO,5.0
26,66,NO_DESEADO,
27,1060,NO_DESEADO,
28,836,NO_DESEADO,
29,78,NO_DESEADO,
30,815,NO_DESEADO,
31,188,NO_DESEADO,
32,249,NO_DESEADO,
33,495,NO_DESEADO,
34,882,NO_DESEADO,
35,522,NO_DESEADO,
36,1049,NO_DESEADO,
37,1051,NO_DESEADO,
38,827,NO_DESEADO,
39,110,NO_DESEADO,
40,961,NO_DESEADO,
42,949,PRIORITARIO,5.0
43,207,NO_DESEADO,
44,742,PRIORITARIO,5.0
47,599,NO_DESEADO,
