ca_id,codigo_ca,nombre,monto_clp,fecha_publicacion,fecha_cierre,estado_ca_texto,proveedores_cotizando,descripcion,direccion_entrega,productos_solicitados,puntuacion_final,organismo_id,fecha_cierre_segundo_llamado,estado_convocatoria,puntaje_detalle,plazo_entrega
5316,2585-1629-COT25,"ADQ DE EQUIPOS INFORMATICOS,INF TECNICO N°59,ORD N°4311,DIDECO,REC,IMA ",520000.0,2025-11-11,2025-11-12 13:00:00,Publicada,,"PARLANTE KARAOKE MGCOBRAULTRA MASTER G O EQUIVALENTE,IMPRESORA MULTIFUNCIONAL O EQUIVALENTE,AL COTIZAR AGREGAR LOS DATOS  PARA CONTACTAR, PROVEEDOR DEBE TENER EL GIRO DEL RUBRO, EN CASO DE TENER FLETE O CARGO DEBEN ESTAR INCORPORADOS EN EL VALOR DE LOS PRODUCTOS, PLAZO DE ENTREGA COMIENZA A REGIR DESDE LAS 24 HRS ENVIADA LA ORDEN DE COMPRA",AV RENATO ROCCA 1585-BODEGA MUNICIPAL,"[{'codigo_producto': 52161512, 'nombre': 'Parlantes', 'descripcion': 'PARLANTE KARAOKE MGCOBRAULTRA MASTER-G O EQUIVALENTE', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 43212105, 'nombre': 'Impresoras de láser', 'descripcion': 'IMPRESORA MULTIFUNCIONAL O EQUIVALENTE,HP SMART TANK790 TINTA CONTINUA, COLOR BLANCA,WIFI,SMART APP,DUPLEX,ADF ALIMENTADOR AUTOMATICO IMPRESION A COLOR', 'cantidad': 1, 'unidad_medida': 'EA'}]",5,179,2025-11-13 13:42:00,1.0,"[""+5: 'dideco' en Título""]",8.0
3817,2464-1632-COT25,ARTICULOS DE FERRETERIA OP 4785-HABITABILIDAD,487000.0,2025-11-11,2025-11-12 15:00:00,Publicada,,"HABITABILIDAD SOLICITA LA COMPRA DE ARTICULOS DE FERRETERIA. SE REQUIERE ADJUNTAR COTIZACION FORMAL Y DETALLADA, FICHA TECNICA, IDONEIDAD TECNICA E INFORMACION DE DESPACHO.",YUNGAY 599,"[{'codigo_producto': 31161503, 'nombre': 'Clavo-tornillo', 'descripcion': 'CODOS 90 GRADOS PVC-9 PN-P 20 MM', 'cantidad': 10, 'unidad_medida': 'EA'}, {'codigo_producto': 31161503, 'nombre': 'Clavo-tornillo', 'descripcion': 'TIRAS DE TUBO PVC PN-16 CEMENTAR AGUA 20MM X 6 METROS', 'cantidad': 5, 'unidad_medida': 'EA'}, {'codigo_producto': 31161503, 'nombre': 'Clavo-tornillo', 'descripcion': 'TEE PVC-9 CEMENTAR 20 MM', 'cantidad': 5, 'unidad_medida': 'EA'}, {'codigo_producto': 31162006, 'nombre': 'Clavos de alambre', 'descripcion': 'FLEXIBLES HI 1/2 30 CM', 'cantidad': 2, 'unidad_medida': 'EA'}, {'codigo_producto': 31162003, 'nombre': 'Clavos de acabado', 'descripcion': 'PLIEGOS DE LIJA 120 GRAMAJE', 'cantidad': 3, 'unidad_medida': 'EA'}, {'codigo_producto': 31162003, 'nombre': 'Clavos de acabado', 'descripcion': 'CODO BRONCE SO/HI 1/2 PULGADAS', 'cantidad': 6, 'unidad_medida': 'EA'}, {'codigo_producto': 31162003, 'nombre': 'Clavos de acabado', 'descripcion': 'RODILLO DE FIBRA TERMOFUSIONADO 0.6X18 CM', 'cantidad': 3, 'unidad_medida': 'EA'}, {'codigo_producto': 31162006, 'nombre': 'Clavos de alambre', 'descripcion': 'TORNILLO VOLCANITA CRS ZRB6 X 1 1/4 CAJA DE 100 UNIDADES', 'cantidad': 8, 'unidad_medida': 'EA'}, {'codigo_producto': 31162006, 'nombre': 'Clavos de alambre', 'descripcion': 'TORNILLO FIBROCEMENTO AVELLANADO 6X1 1/4 P FINA CAJA DE 100 UNIDADES', 'cantidad': 10, 'unidad_medida': 'EA'}, {'codigo_producto': 31162006, 'nombre': 'Clavos de alambre', 'descripcion': 'MEMBRANA IMPERMEABLE DE AISLAMIENTO LATA 1 GALON', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 31162006, 'nombre': 'Clavos de alambre', 'descripcion': 'TORNILLO VOLCANITA 1 5/8 P FINA CAJA DE 100 UNIDADES', 'cantidad': 10, 'unidad_medida': 'EA'}, {'codigo_producto': 31162003, 'nombre': 'Clavos de acabado', 'descripcion': 'TARRO DE VINILIT', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 31162003, 'nombre': 'Clavos de acabado', 'descripcion': 'TUBO ACERO GALVANIZADO PARA ESCAPE DE VENTILACION CALEFONT 1 METRO 4 PULGADAS', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 31162003, 'nombre': 'Clavos de acabado', 'descripcion': 'GORRO PARA TUBO DE ACERO GALVANIZADO DE 4 PULGADAS', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 31162003, 'nombre': 'Clavos de acabado', 'descripcion': 'CALEFONT DE 7 LITROS DE CAPACIDAD', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 31162003, 'nombre': 'Clavos de acabado', 'descripcion': 'LLAVE DE PASO 1/2 PULGADAS SO BRONCE', 'cantidad': 4, 'unidad_medida': 'EA'}, {'codigo_producto': 31161503, 'nombre': 'Clavo-tornillo', 'descripcion': 'COPLAS PVC-9 CEMENTAR 20 MM', 'cantidad': 6, 'unidad_medida': 'EA'}, {'codigo_producto': 31162003, 'nombre': 'Clavos de acabado', 'descripcion': 'BROCHA MULTIUSO 2 PULGADAS PARA PINTURA Y DETALLES', 'cantidad': 3, 'unidad_medida': 'EA'}]",10,233,2025-11-13 15:30:00,1.0,"[""+5: 'ferreteria' en Título"", ""+5: 'ferreteria' en Descripción""]",3.0
1697,3533-362-COT25,Adquisición de materiales de ferreteria,275940.0,2025-11-11,2025-11-12 19:15:00,Publicada,,"El oferente debe ofertar la totalidad de los productos requeridos, además debe realizar la entrega en Avda los confines 330 sin costo, debe tener giro ante SII para realizar la venta, el oferente debe adjuntar una cotización de los productos a ofertar y no se aceptarán ofertas con productos diferentes a los solicitados",Avda los confines 330,"[{'codigo_producto': 31201512, 'nombre': 'Cinta Transparente', 'descripcion': 'Cinta aisladora eléctrica de goma autofundente 3/4 3m negro', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 39121409, 'nombre': 'Conectores de cables eléctricos', 'descripcion': 'Rollo de cable libre de halogenos H07Z1-K 1X4MM2, 100 METROS ROJO ', 'cantidad': 100, 'unidad_medida': 'MTR'}, {'codigo_producto': 31201512, 'nombre': 'Cinta Transparente', 'descripcion': 'Cinta aisladora eléctrica alto desempeño 19mm x 18metros negra', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 39121409, 'nombre': 'Conectores de cables eléctricos', 'descripcion': 'Rollo de cable libre de halogenos H07Z1-K 1X4MM2, 100 METROS verde', 'cantidad': 100, 'unidad_medida': 'MTR'}, {'codigo_producto': 39121409, 'nombre': 'Conectores de cables eléctricos', 'descripcion': 'Terminales ferrul 2,5 mn 100 unidades color gris.', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 39121402, 'nombre': 'Enchufes eléctricos', 'descripcion': 'Tomacorriente triple 10A blanco ', 'cantidad': 20, 'unidad_medida': 'EA'}, {'codigo_producto': 39121409, 'nombre': 'Conectores de cables eléctricos', 'descripcion': 'Rollo de cable libre de halogenos H07Z1-K 1X4MM2, 100 METROS blanco', 'cantidad': 100, 'unidad_medida': 'MTR'}]",5,93,2025-11-13 19:56:00,1.0,"[""+5: 'ferreteria' en Título""]",5.0
114,1208910-339-COT25," SERVICIO DE ALIMENTACION DÍA 15 NOV, 18 NOV, 25 NOV",1350000.0,2025-11-11,2025-11-12 21:25:00,Publicada,,,,,0,72,,,[],
6821,1171142-2743-COT25,"SUTURA SINTÉTICA ABSORBIBLE CALIBRE 2-0, LONGITUD DE HEBRA DE 70 CM, AGUJA AHUSADA 1/2 CIRCULO, DE 26 MM DE LONGITUD. ",2700000.0,2025-11-05,2025-11-12 13:05:00,Publicada,,,,,0,389,,,[],
6824,1602-154-COT25,ADQUISICION DE DESTAPADORA DE DESAGUES ELECTRICA (213 dgv) ,600000.0,2025-11-05,2025-11-12 11:55:00,Publicada,,,,,0,329,,,[],
3495,2324-1374-COT25,ADQUISICIÓN DE IMPLEMENTACIÓN DEPORTIVA PARA LA EJECUCIÓN DE LAS DIVERSAS ESCUELAS DEPORTIVAS QUE IMPLEMENTA EL DEPARTAMENTO DE DEPORTES / DIDECO,1400000.0,2025-11-11,2025-11-14 13:00:00,Cerrada,,"ADQUISICIÓN DE IMPLEMENTACIÓN DEPORTIVA, SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA. ","CALLE EGAÑA 1151, ARENA PUERTO  MONTT","[{'codigo_producto': 49211806, 'nombre': 'Tienda de deporte', 'descripcion': 'BARRA OLÍMPICA HEXAGONAL POSEE DIFERENTES TOMADAS, FABRICADA EN ACERO DE ALTA RESISTENCIA, SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA. ', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 49211806, 'nombre': 'Tienda de deporte', 'descripcion': 'CUERDAS CROSSFIT CON PESO BATTLE ROPE:  MULTIFUNCIÓN 9 METROS, CON RECUBRIMIENTO DE LONA QUE PROTEGE CONTRA DESGASTE, MANGAS TEXTURIZADAS DE GOMA 50 MM, SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA. \n', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 49211806, 'nombre': 'Tienda de deporte', 'descripcion': 'PSQUAT RACK:ALTURA AJUSTABLE. MEDIDAS 1.07 M X 60 X 1.55 LARGO X ANCHO X ALTO. PESO MÁXIMO SOPORTADO 200 KG,SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA.  \n', 'cantidad': 1, 'unidad_medida': 'RACK'}, {'codigo_producto': 49211806, 'nombre': 'Tienda de deporte', 'descripcion': 'BARRA OLÍMPICA CURVA Z DE 120 CM CROMADA, ACERO INOXIDABLE, PESO MÁXIMO DE SOPORTE: HASTA 90 KG, SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA. \n', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 49211806, 'nombre': 'Tienda de deporte', 'descripcion': 'PAR DE DISCOS OLIMPICOS 2.5 KGS:DIÁMETRO DE 50 MM PARA ADAPTARSE A BARRA OLIMPICA DE ACERO SÓLIDO RECUBIERTO DE GOMA DE ALTA DENSIDAD, RESISTENTES A GOLPES Y CAÍDAS, SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA. \n\n', 'cantidad': 1, 'unidad_medida': 'PR'}, {'codigo_producto': 49211806, 'nombre': 'Tienda de deporte', 'descripcion': 'CAMILLA PARA MASAJES DE 2 CUERPOS PORTÁTIL Y PLEGABLE DE COLOR NEGRO, SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA. \n', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 49211806, 'nombre': 'Tienda de deporte', 'descripcion': 'PAR DE MANCUERNAS DE VINILO 10 KG CADA UNA, MATERIAL ANTIDESLIZANTE EXTREMOS DE FORMA HEXAGONAL, SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA. \n', 'cantidad': 1, 'unidad_medida': 'PR'}, {'codigo_producto': 49211806, 'nombre': 'Tienda de deporte', 'descripcion': 'PAR DE MANCUERNAS HEXAGONALES DE ACERO 12,5 KG CADA UNA, MANGO ANATÓMICO ANTIDESLIZANTE, CABEZALES DE ACERO SÓLIDO RECUBIERTOS CON NBR Y PVC, SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA. \n\n', 'cantidad': 1, 'unidad_medida': 'PR'}, {'codigo_producto': 49211806, 'nombre': 'Tienda de deporte', 'descripcion': 'MAQUINA PRESOTERAPIA 3 FUNCIONES MÁS PAR DE BOTAS TALLA L, SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA. ', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 49211806, 'nombre': 'Tienda de deporte', 'descripcion': 'BANCO INCLINABLE MULTIFUNCIÓN DE FÁCIL AJUSTE DE POSICIONES, SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA. ', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 49211806, 'nombre': 'Tienda de deporte', 'descripcion': 'MAQUINA PRESOTERAPIA 3 FUNCIONES MÁS PAR DE BOTAS TALLA M, SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA. \n', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 49211806, 'nombre': 'Tienda de deporte', 'descripcion': 'BARRA OLÍMPICA 20KG MÁS SET 100 KGS:BARRA DE 20 KG, 220 CM DE LARGO CON UN DIÁMETRO DE 25 MM DISEÑADA PARA SOPORTAR CARGAS DE 1500 LBS, DISCOS FABRICADOS CON CAUCHO DE ALTA CALIDAD, CON UN DIÁMETRO STANDARD DE 45 CM, COLLAR DE ACERO DE 50 MM, SET DEBE INCLUIR DISCOS DE:5 KG, 10 KG ,15 KG ,20 KG, SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA. \n\n', 'cantidad': 1, 'unidad_medida': 'PACK'}]",10,517,2025-11-17 11:06:00,1.0,"['+5: Organismo Prioritario', ""+5: 'dideco' en Título""]",7.0
110,188-822-COT25,MEMO NRO. 2196 “ADQUISICIÓN DE 6 (SEIS) NOTEBOOKS 360 CONVERTIBLE EN TABLET PLAN DE MEJORA MAIS-COMUDEF”. ,4800000.0,2025-11-11,2025-11-12 21:30:00,Publicada,,,,,0,70,,,[],
112,2270-362-COT25,Exp N°18280 - Servicio de Impresion de Manuales para Prog. Rabia - Zoonosis,214200.0,2025-11-11,2025-11-13 18:00:00,Publicada,,,,,0,71,,,[],
113,898-1482-COT25,"Equipos de Fuerza y Accesorios, Boxeo y Entrenamientos Funcionales, Pisos y Espejos",6954200.0,2025-11-11,2025-11-13 11:00:00,Publicada,,,,,0,55,,,[],
