Score,Código CA,Nombre,Descripcion,Organismo,Dirección Entrega,Estado,Fecha Publicación,Fecha Cierre,Fecha Cierre 2do Llamado,Productos,Proveedores,Favorito,Ofertada
25,2324-1372-COT25,"ADQUISICIÓN DE FÁRMACOS, INSUMOS VETERINARIOS Y AGRICOLAS/DIDECO","
ADQUISICIÓN DE FÁRMACOS, INSUMOS VETERINARIOS Y AGRICOLAS PARA LA EJECUCIÓN DE ACTIVIDADES PARA USUARIOS DEL PROGRAMA PRODESAL PUERTO MONTT. LOS PRODUCTOS Y/O SERVICIOS DEBEN CUMPLIR SEGUN LO SOLICITADO EN LAS ESPECIFICACIONES TECNICAS ADJUNTAS, EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON LA DESCRIPCION DE SU OFERTA, SI NO ADJUNTA NO SE EVALUARÁ SU OFERTA, DECLARANDOSE INADMISIBLE.",I MUNICIPALIDAD DE PUERTO MONTT," CALLE EL TENIENTE 65, BODEGA N°2, PARQUE INDUSTRIAL, Puerto Montt, Región de los Lagos, Puerto Montt, Región de los Lagos",Publicada,2025-11-11,2025-11-13 10:15:00,2025-11-15 10:14:00,"[{'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'GUANTES TALLA M, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 4, 'unidad_medida': 'BX'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'JERINGAS DE 20 ML, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 2, 'unidad_medida': 'BX'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'SEMILLAS NABO VARIEDAD BARKANT 1 KL, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS', 'cantidad': 2, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'SEMILLAS ACHICORIA 1 KL, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'ALAMBRE CERCO ELECTRICO 300 MTS, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.\n\n', 'cantidad': 2, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'GUANTES TALLA L, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 2, 'unidad_medida': 'BX'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'BUZO PROTECTOR DESECHABLE BLANCO TALLA XL, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 2, 'unidad_medida': 'BX'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': '\nSEMILLAS FESTULOLIUM 1 KL, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'CERCO ELECTRICO GALLAGER MBS100 300MTS, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 2, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'SUPOLEN PLUS ORAL EN PRESENTACIÓN DE 1 LT, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 6, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'VITAMINA ADE INYECTABLE EN PRESENTACIÓN DE 100 ML, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 4, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'JERINGAS DE 10 ML, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 2, 'unidad_medida': 'BX'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'CAL AGRO SACOS 25 KL, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 60, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'SEMILLAS PASTO OVILLO 1 KL, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 3, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'ESTACAS PLASTICAS PARA CERCO ELECTRICO, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 60, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'SOFOMAX ORAL EN PRESENTACIÓN DE 1 LT, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 2, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'MANGAS PARA PALPACIÓN, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 4, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'SUPERFOSFATO TRIPLE PRESENTACIÓN SACOS 25 KL, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 23, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'NITRAM PRESENTACIÓN SACOS 25 KL, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 25, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'MURIATO DE POTASIO SACOS 25KL, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS', 'cantidad': 14, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'SEMILLAS FESTUCA 1 KL, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 4, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'GUANTES TALLA S, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 2, 'unidad_medida': 'BX'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'SULPOMAG SACOS 25 KL. DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 5, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'SEMILLAS TREBOL ROSADO 1 KL, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 4, 'unidad_medida': 'EA'}, {'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'SEMILLAS SIETE VENAS 1 KL, DE ACUERDO A ESPECIFICACIONES TÉCNICAS ADJUNTAS.', 'cantidad': 4, 'unidad_medida': 'EA'}]",,True,False
25,2324-1371-COT25,AQUISICION SALES NUTRITIVAS PARA HIDROPONIA JUNTO CON REGULADORES DE PH PARA SUMINISTRAR DE MATERIALES A USUARIOS DE TALLERES HIDROPONIA DEL PROGRAMA PRODESAL / DIDECO - SUBDEL,"AQUISICION SALES NUTRITIVAS PARA HIDROPONIA JUNTO CON REGULADORES DE PH PARA SUMINISTRAR DE MATERIALES A USUARIOS DE TALLERES HIDROPONIA DEL PROGRAMA PRODESAL / DIDECO - SUBDEL 
CONTACTO: GLORIA OJEDA CORREO: GLORIA.OJEDA@PUERTOMONTT.CL FONO: 652261316 EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE

",I MUNICIPALIDAD DE PUERTO MONTT,"CALLE EL TENIENTE N 65, BODEGA N 2, PPUERTO MONTT , Puerto Montt, Región de los Lagos",Publicada,2025-11-11,2025-11-13 08:00:00,2025-11-15 06:20:00,"[{'codigo_producto': 70141502, 'nombre': 'Producción hidropónica', 'descripcion': 'PACK SLES HIDROPONICAS A+B , SEGUN TTR ADJUNTO, EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 25, 'unidad_medida': 'EA'}]",,True,False
20,3231-547-COT25,COMPRA DE MEDICAMENTOS VETERINARIOS PARA USUARIOS DEL PROGRAMA PRODESAL. SEGUN SOLICITUD DE COMPRA Y TERMINOS DE REFERENCIA ADJUNTOS,COMPRA DE MEDICAMENTOS VETERINARIOS PARA USUARIOS DEL PROGRAMA PRODESAL. SEGUN SOLICITUD DE COMPRA Y TERMINOS DE REFERENCIA ADJUNTOS,I MUNICIPALIDAD DE PELLUHUE,SEGUN TERMINOS DE REFERENCIA ADJUNTOS,Publicada,2025-11-11,2025-11-12 17:00:00,2025-11-13 17:18:00,"[{'codigo_producto': 10111305, 'nombre': 'Fármacos veterinarios', 'descripcion': 'COMPRA DE MEDICAMENTOS VETERINARIOS PARA USUARIOS DEL PROGRAMA PRODESAL. SEGUN SOLICITUD DE COMPRA Y TERMINOS DE REFERENCIA ADJUNTOS', 'cantidad': 1, 'unidad_medida': 'GL'}]",,False,False
15,2731-1159-COT25, S.C. N°05-465_Dideco_Reparacion de vivienda_Materiales de construccion,"Adquisicion de materiales de construccion para reparacion de vivienda. Deberá adjuntar a su propuesta el Anexo N°1 y/o la cotización en formato propio que contenga los valores unitarios y toda la información requerida, en caso contrario su oferta no será considerada válida.",I MUNICIPALIDAD DE PENAFLOR,Jaromir Pridal #669,Publicada,2025-11-06,2025-11-12 17:09:00,2025-11-12 17:09:00,"[{'codigo_producto': 30171504, 'nombre': 'Puertas de madera', 'descripcion': 'Adquisicion de materiales de construccion, segun especificaciones tecnicas descritas en Anexo N°1 adjunto.', 'cantidad': 1, 'unidad_medida': 'GL'}]",,False,False
15,3833-899-COT25,MATERIALES DE CONSTRUCCION-DEPTO. SOCIAL,"ADQUISICION DE MATERIALES DE CONSTRUCCION SOLCITADOS COMO AYUDA SOCIAL, CASO SR. R.V.R. REQ.31486.
ADJUNTAR COTIZACION FORMAL (LA NO PRESENTACION DE LA DOCUMENTACION PUEDE SER CAUSAL DE RECHAZO DE LA OFERTA)
",I MUNICIPALIDAD DE RIO BUENO,CARLOS CONDELL 1480,Publicada,2025-11-11,2025-11-13 14:00:00,2025-11-15 14:39:00,"[{'codigo_producto': 30131501, 'nombre': 'Bloques de cemento', 'descripcion': 'PILAR ACMA ACERO 15 X 15 CM X 8MM X 3.4 MTS', 'cantidad': 2, 'unidad_medida': 'EA'}, {'codigo_producto': 30103605, 'nombre': 'Tablas de madera', 'descripcion': 'OREGON 1 X 6 X 3.20 MTS', 'cantidad': 10, 'unidad_medida': 'EA'}, {'codigo_producto': 31161503, 'nombre': 'Clavo-tornillo', 'descripcion': 'KILO DE CLAVO DE 4""', 'cantidad': 1, 'unidad_medida': 'KGM'}, {'codigo_producto': 31161503, 'nombre': 'Clavo-tornillo', 'descripcion': 'GALON DE CARBONILEUM', 'cantidad': 1, 'unidad_medida': 'A76'}, {'codigo_producto': 30103605, 'nombre': 'Tablas de madera', 'descripcion': 'PILAR ORERON 6 X 6 X 3.20 MT', 'cantidad': 6, 'unidad_medida': 'EA'}, {'codigo_producto': 30131501, 'nombre': 'Bloques de cemento', 'descripcion': 'BOLSAS DE CEMENTO DE 25KG', 'cantidad': 20, 'unidad_medida': 'EA'}, {'codigo_producto': 30103605, 'nombre': 'Tablas de madera', 'descripcion': 'PINO BRUTO 1 X 8 X 3.20 MTS', 'cantidad': 10, 'unidad_medida': 'EA'}, {'codigo_producto': 30103605, 'nombre': 'Tablas de madera', 'descripcion': 'CAJA TIRAFONDOS 5/16X4"" (DE 100 UNIDADES)', 'cantidad': 1, 'unidad_medida': 'BX'}, {'codigo_producto': 31161503, 'nombre': 'Clavo-tornillo', 'descripcion': 'KILOS DE CLAVOS DE 3""', 'cantidad': 2, 'unidad_medida': 'KGM'}, {'codigo_producto': 30103605, 'nombre': 'Tablas de madera', 'descripcion': 'PINO BRUTO 3 X 4 X 3.20 MTS', 'cantidad': 4, 'unidad_medida': 'EA'}]",,True,False
15,909103-52-COT25,E1O2RT9-SIRE N° 221-MATERIALES DE FERRETERIA OAP.,"MATERIALES DE FERRETERIA PARA MANTENCION Y REPARACION DE INMUEBLE, OAP.",CORP NACIONAL FORESTAL,"CARLOS ACHARAN N° 263, PANGUIPULLI",Publicada,2025-11-11,2025-11-12 17:00:00,,"[{'codigo_producto': 31211701, 'nombre': 'Esmaltes', 'descripcion': 'Se solicita cotización de materiales de ferretería según listado adjunto.  ', 'cantidad': 1, 'unidad_medida': 'EA'}]",,False,False
15,2324-1347-COT25, INSUMOS COMPUTACIONALES – IMPREMENTACION PROGRAMA / DIDECO – SUBDIRECCION PROTECCION SOCIAL,"INSUMOS COMPUTACIONALES – IMPREMENTACION PROGRAMA / DIDECO – SUBDIRECCION PROTECCION SOCIAL 

CONTACTO: JEANNETTE AGUILAR 
CORREO: JEANNETTE.AGUILAR@PUERTOMONTT.CL 
FONO: 652237100 


EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE",I MUNICIPALIDAD DE PUERTO MONTT," DEBER CUMPLIDO ESQUINA BUENA VECINDAD , Puerto Montt, Región de los Lagos",Publicada,2025-11-05,2025-11-13 08:42:00,2025-11-13 08:42:00,"[{'codigo_producto': 44103103, 'nombre': 'Tóner', 'descripcion': 'TONER TINTA AZUL SEGÚN TTR ADJUNTO, EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 2, 'unidad_medida': 'EA'}, {'codigo_producto': 44103103, 'nombre': 'Tóner', 'descripcion': 'TONER TINTA AMARILLA, SEGÚN TTR ADJUNTO ,EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 2, 'unidad_medida': 'EA'}, {'codigo_producto': 44103103, 'nombre': 'Tóner', 'descripcion': 'TONER TINTA ROJA, SEGÚN TTR ADJUNTO ,EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 2, 'unidad_medida': 'EA'}, {'codigo_producto': 44103103, 'nombre': 'Tóner', 'descripcion': 'TONER TINTA NEGRA, SEGÚN TTR ADJUNTO ,EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 3, 'unidad_medida': 'EA'}, {'codigo_producto': 43212110, 'nombre': 'Impresoras multifunción o multifuncionales', 'descripcion': 'IMPRESORA HP LASER, SEGÚN TTR ADJUNTO ,EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 3, 'unidad_medida': 'EA'}]",,False,False
15,2324-1373-COT25,INSUMOS PARA PELUQUERIA CANINA - AYUDA EMPRENDIMIENTO PARA BENEFICIARIA  / DIDECO - SUB DIRECCION DE DESARROLLO ECONOMICO LOCAL,"AYUDA EMPRENDIMIENTO PARA BENEFICIARIA - INSUMOS PARA PELUQUERIA CANINA / DIDECO - SUB DIRECCION DE DESARROLLO ECONOMICO LOCAL CONTACTO: FERNANO GIPOULOU CORREO: FERNADO.GIPOULOU@PUERTOMONTT.CL FONO: 652244439 EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE

",I MUNICIPALIDAD DE PUERTO MONTT,"AVENIDA PRESIDENTE IBAÑEZ N 600 SEGUNDO PISO , Puerto Montt,, Puerto Montt, Región de los Lagos",Publicada,2025-11-11,2025-11-14 08:00:00,2025-11-17 05:32:00,"[{'codigo_producto': 53131604, 'nombre': 'Peines o cepillos para el pelo', 'descripcion': 'ARTERO BELLA -CARDA DOBLE, SEGUN TTR ADJUNTO , EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 44121618, 'nombre': 'Tijeras', 'descripcion': 'TIJERAS ARTERO, SEGUN TTR ADJUNTO, EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 44121624, 'nombre': 'Tijeras', 'descripcion': 'TIJERAS ARTERO, DOBLE ADELGAZAMIENTO, SEGUN TTR ADJUNTO, EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 53131621, 'nombre': 'Cortaúñas', 'descripcion': 'ANDIS CORTAUÑAS, SEGUN TTR ADJUNTO, EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 53131604, 'nombre': 'Peines o cepillos para el pelo', 'descripcion': 'ANDIS PEINTEA, SEGUN TTR ADJUNTO EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 53131628, 'nombre': 'Shampoo', 'descripcion': 'SHAMPOO KERA ARGAN, SEGUN TTR ADJUNTO, EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 53131604, 'nombre': 'Peines o cepillos para el pelo', 'descripcion': 'SHOW TECH CARDA UNIVERSAL SUAVE MEDIANA, SEGUN TTR ADJUNTO EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 53131628, 'nombre': 'Shampoo', 'descripcion': 'SHAMPOO ALOE LOVER SEGUN TTR ADJUNTO, EL ANEXO N°1, DEBE SER RELLENADO Y ADJUNTADO A LA PROPUESTA, SI NO SE ADJUNTA, SU OFERTA NO SERÁ EVALUADA POR FALTA DE ANTECEDENTES Y QUEDARÁ INADMISIBLE', 'cantidad': 1, 'unidad_medida': 'EA'}]",,False,False
10,2713-1215-COT25,ALIMENTOS Y OTROS. FOLIO 1375 DIDECO. PRODESAL,"COTIZACIÓN DE :ALIMENTOS Y OTROS. LOS COSTOS DE TRASLADOS A PUERTO AYSÉN O PUERTO AGUIRRE SERÁN DEL OFERENTE. EL PLAZO DE ENTREGA SERÁN DE 10 DÍA HÁBIL, DE LO CONTRARIO SE DESCARTARAN.EL PROVEEDOR QUE NO INDIQUE EL PLAZO DE ENTREGA SE DESCARTARA SU COTIZACIÓN. OFERENTE DEBE INCLUIR FLETES EN EL PRECIO DEL PRODUCTO.EN CASO DE EMPATE DE PRECIOS EL GANADOR SERA EL PRIMERO QUE OFERTO EN PLATAFORMA.",I MUNICIPALIDAD DE AYSEN,DELEGACION MUNICIPAL EN PUERTO AGUIRRE O EN DIDECO PTO.AYSEN CALLE TTE MERINO 630,Publicada,2025-11-11,2025-11-14 16:00:00,2025-11-17 16:36:00,"[{'codigo_producto': 10101511, 'nombre': 'Cerdos', 'descripcion': 'Unidades de costillar de cerdo sellado al vacío, 1.5 Kg Aprox. “Super Cerdo” o similar', 'cantidad': 4, 'unidad_medida': 'EA'}, {'codigo_producto': 14111703, 'nombre': 'Toallas de papel', 'descripcion': 'Unidad de toalla de papel, 70 mts o 130 hojas “Nova” o similar', 'cantidad': 1, 'unidad_medida': 'EA'}, {'codigo_producto': 52151504, 'nombre': 'Tazas o vasos desechables domésticos', 'descripcion': 'Vasos plásticos desechables blancos o de colores, 300 mL', 'cantidad': 30, 'unidad_medida': 'EA'}, {'codigo_producto': 50111511, 'nombre': 'Carne de ave o carne congelada', 'descripcion': 'Unidades de pechuga de pollo envasada deshuesada, cada una de 850 gramos. “Super Pollo” o similar', 'cantidad': 7, 'unidad_medida': 'EA'}, {'codigo_producto': 52151502, 'nombre': 'Platos desechables domésticos', 'descripcion': 'Unidades de platos bajos desechables (plásticos), blanco o de colores', 'cantidad': 30, 'unidad_medida': 'EA'}, {'codigo_producto': 52151704, 'nombre': 'Cucharas domésticas', 'descripcion': 'Unidades de cucharas chicas plásticas (desechables)', 'cantidad': 30, 'unidad_medida': 'EA'}, {'codigo_producto': 50193002, 'nombre': 'Bebidas Infantiles', 'descripcion': 'Botella desechable de bebida de 3 Lt c/u, Coca- cola, Fanta, Sprite u otras', 'cantidad': 4, 'unidad_medida': 'EA'}, {'codigo_producto': 52151703, 'nombre': 'Tenedores domésticos', 'descripcion': 'Unidades de tenedores desechables (plásticos)', 'cantidad': 30, 'unidad_medida': 'EA'}, {'codigo_producto': 10151512, 'nombre': 'Semillas o almácigos de lechuga', 'descripcion': 'Unidades de lechuga costina envasada “Dole” o similar', 'cantidad': 3, 'unidad_medida': 'EA'}, {'codigo_producto': 52152101, 'nombre': 'Tazas de café o té domésticas', 'descripcion': 'Tazas de cerámica o porcelana de 300 mL, colores sobrios (azul, negro, blanco)', 'cantidad': 15, 'unidad_medida': 'EA'}, {'codigo_producto': 50192111, 'nombre': 'Charqui u otras carnes secas o procesadas', 'descripcion': 'Paquete de salchichas o vienesas de 1 Kg (20 UND.), “Receta del Abuelo” o similar', 'cantidad': 2, 'unidad_medida': 'PK'}, {'codigo_producto': 50181901, 'nombre': 'Pan fresco', 'descripcion': 'kilos de pan corriente hallulla, a granel', 'cantidad': 2, 'unidad_medida': 'KGM'}]",,False,False
10,2324-1362-COT25,ADQUISICION DE ARTICULOS MEDICOS/ DIDECO - DPTO. DE DEPORTES ,"ARTICULOS MEDICOS, SEGUN LOS OLICITADO EN LOS TERMINOS TECNICOS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA, NO ADJUNTA SU OFERTA SE DECLARARÁ INADMISIBLE.  ",I MUNICIPALIDAD DE PUERTO MONTT,"CALLE EGAÑA 1151, ARENA PUERTO MONTT",Publicada,2025-11-07,2025-11-15 21:54:00,2025-11-15 21:54:00,"[{'codigo_producto': 42172002, 'nombre': 'Equipos de primera respuesta de servicios médicos de urgencia', 'descripcion': 'BATERIA PARA AED-2100K DE GENERACION ACTUAL, SEGUN LOS OLICITADO EN LOS TERMINOS TECNICOS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA, NO ADJUNTA SU OFERTA SE DECLARARÁ INADMISIBLE.  ', 'cantidad': 2, 'unidad_medida': 'EA'}, {'codigo_producto': 42172002, 'nombre': 'Equipos de primera respuesta de servicios médicos de urgencia', 'descripcion': 'PARCHE PARA DESFRIBILADOR COMPATIBLE CON AED Y TEC, SEGUN LOS OLICITADO EN LOS TERMINOS TECNICOS, ADEMAS EL PROVEEDOR DEBE ADJUNTAR EL ANEXO N°1 OBLIGATORIO CON EL DETALLE DE SU OFERTA, NO ADJUNTA SU OFERTA SE DECLARARÁ INADMISIBLE.  ', 'cantidad': 2, 'unidad_medida': 'EA'}]",,False,False
